Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2023-10-01 to 2024-03-31,,,,48821.0,,48821.0,2024-h1,2024,h1,Insurance,5
Elavon Financial Services Designated Activity Company,NO GROUP,2024-01-01 to 2024-06-30,2221.0,,,,,2221.0,2024-h1,2024,h1,Banking,5
Elderbridge Limited,TECH MAHINDRA LIMITED,2023-10-01 to 2024-03-31,,,974.0,,,974.0,2024-h1,2024,h1,Mortgage & Lending,5
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,,530.0,,,571.0,1101.0,2024-h1,2024,h1,Investments,5
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2024-01-01 to 2024-06-30,,18.0,,,3237.0,3255.0,2024-h1,2024,h1,Investments,5
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2024-01-01 to 2024-06-30,,,,2921.0,,2921.0,2024-h1,2024,h1,Insurance,5
esure Insurance Limited,ESURE GROUP PLC,2024-01-01 to 2024-06-30,,,,20386.0,,20386.0,2024-h1,2024,h1,Insurance,5
EUI Limited,ADMIRAL GROUP PLC,2024-01-01 to 2024-06-30,,,,66719.0,,66719.0,2024-h1,2024,h1,Insurance,5
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,2024-01-01 to 2024-06-30,,,,509.0,,509.0,2024-h1,2024,h1,Insurance,5
Experian Limited,EXPERIAN PLC,2023-10-01 to 2024-03-31,,,0.0,3.0,0.0,3.0,2024-h1,2024,h1,Insurance,5
Extracover Limited,NO GROUP,2024-01-01 to 2024-06-30,0.0,0.0,0.0,561.0,0.0,561.0,2024-h1,2024,h1,Insurance,5
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2024-01-01 to 2024-06-30,480.0,0.0,0.0,0.0,727.0,1207.0,2024-h1,2024,h1,Investments,5
FCE Bank Plc,FORD MOTOR CO,2024-01-01 to 2024-06-30,94.0,,,,,94.0,2024-h1,2024,h1,Banking,5
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2024-01-01 to 2024-06-30,,654.0,,,1693.0,2347.0,2024-h1,2024,h1,Investments,5
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2024-01-01 to 2024-06-30,,,,10584.0,,10584.0,2024-h1,2024,h1,Insurance,5
FirstRand Bank Limited,FIRSTRAND LIMITED,2024-01-01 to 2024-06-30,,,,31.0,,31.0,2024-h1,2024,h1,Banking,5
Fish Administration Limited,PIB GROUP,2024-01-01 to 2024-06-30,,,,530.0,,530.0,2024-h1,2024,h1,Insurance,5
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2024-01-01 to 2024-06-30,,39.0,,51.0,622.0,712.0,2024-h1,2024,h1,Insurance,5
Fortegra Europe Insurance Company Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,4001.0,,4001.0,2024-h1,2024,h1,Insurance,5
Frasers Group Financial Services Limited,NO GROUP,2023-11-01 to 2024-04-30,,,,1.0,,1.0,2024-h1,2024,h1,Insurance,5
Funding Circle Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,,36.0,36.0,2024-h1,2024,h1,Investments,5
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,,17.0,,,689.0,706.0,2024-h1,2024,h1,Investments,5
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,2024-01-01 to 2024-06-30,,1245.0,,2.0,4100.0,5347.0,2024-h1,2024,h1,Energy & Utilities,5
Hastings Insurance Services Limited,HASTINGS GROUP,2024-01-01 to 2024-06-30,,,,18217.0,,18217.0,2024-h1,2024,h1,Insurance,5
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,0.0,0.0,0.0,0.0,754.0,754.0,2024-h1,2024,h1,Investments,5
Helvetia Global Solutions Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,1363.0,,1363.0,2024-h1,2024,h1,Insurance,5
Hiscox Insurance Company Limited,HISCOX LTD.,2024-01-01 to 2024-06-30,,,,630.0,,630.0,2024-h1,2024,h1,Insurance,5
Home Retail Group Card Services Limited,J SAINSBURY PLC,2023-09-01 to 2024-02-29,4398.0,,,,,4398.0,2024-h1,2024,h1,Banking,5
Homeserve Membership Limited,HOMESERVE PLC,2024-01-01 to 2024-06-30,,,,2864.0,,2864.0,2024-h1,2024,h1,Insurance,5
Hood Travel Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,566.0,,566.0,2024-h1,2024,h1,Insurance,5
Howserv Limited,STAYSURE HOLDINGS LTD,2024-01-01 to 2024-06-30,,,,2045.0,,2045.0,2024-h1,2024,h1,Insurance,5
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-01-01 to 2024-06-30,101003.0,48.0,6144.0,581.0,1402.0,109178.0,2024-h1,2024,h1,Banking,5
I Go 4 Ltd.,MARKERSTUDY GROUP,2024-01-01 to 2024-06-30,,,,1208.0,,1208.0,2024-h1,2024,h1,Insurance,5
Ikano Bank AB (publ),NO GROUP,2024-01-01 to 2024-06-30,1732.0,,,,,1732.0,2024-h1,2024,h1,Banking,5
Insurance Factory Ltd,MARKERSTUDY GROUP,2024-01-01 to 2024-06-30,,,,3805.0,,3805.0,2024-h1,2024,h1,Insurance,5
Integra Insurance Solutions Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,535.0,,535.0,2024-h1,2024,h1,Insurance,5
Inter Partner Assistance SA,,2024-01-01 to 2024-06-30,,,,7928.0,,7928.0,2024-h1,2024,h1,Insurance,5
Interactive Brokers (U.K.) Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,,673.0,673.0,2024-h1,2024,h1,Investments,5
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,2024-01-01 to 2024-06-30,,212.0,,,2378.0,2590.0,2024-h1,2024,h1,Investments,5
Invesco Fund Managers Limited,INVESCO LTD,2024-01-01 to 2024-06-30,,,,,650.0,650.0,2024-h1,2024,h1,Investments,5
Investec Bank PLC,INVESTEC PLC,2023-10-01 to 2024-03-31,467.0,,11.0,,28.0,506.0,2024-h1,2024,h1,Banking,5
Investment Funds Direct Limited,M&G PLC,2024-01-01 to 2024-06-30,,286.0,,,320.0,606.0,2024-h1,2024,h1,Investments,5
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,2023-09-01 to 2024-02-29,,,,10.0,,10.0,2024-h1,2024,h1,Insurance,5
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2024-01-01 to 2024-06-30,12121.0,,,,,12121.0,2024-h1,2024,h1,Banking,5
James Hay Administration Company Ltd,NO GROUP,2024-01-01 to 2024-06-30,,734.0,,,,734.0,2024-h1,2024,h1,Insurance,5
Janus Henderson Fund Management UK Limited,JANUS HENDERSON GROUP PLC,2024-01-01 to 2024-06-30,,,,,792.0,792.0,2024-h1,2024,h1,Investments,5
Kensington Mortgage Company Limited,NO GROUP,2024-01-01 to 2024-06-30,,,1055.0,,,1055.0,2024-h1,2024,h1,Mortgage & Lending,5
Kroo Bank Ltd,NO GROUP,2024-01-01 to 2024-06-30,1083.0,,,,,1083.0,2024-h1,2024,h1,Banking,5
Landmark Mortgages Limited,NO GROUP,2024-01-01 to 2024-06-30,,,782.0,,,782.0,2024-h1,2024,h1,Mortgage & Lending,5
LeasePlan UK Limited,LP GROUP B.V.,2024-01-01 to 2024-06-30,,,,3.0,,3.0,2024-h1,2024,h1,Insurance,5
Leeds Building Society,LEEDS BUILDING SOCIETY,2024-01-01 to 2024-06-30,1951.0,,1334.0,19.0,1.0,3305.0,2024-h1,2024,h1,Banking,5
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,2024-01-01 to 2024-06-30,,565.0,,,6.0,571.0,2024-h1,2024,h1,Insurance,5
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2024-01-01 to 2024-06-30,,1742.0,,3074.0,,4816.0,2024-h1,2024,h1,Insurance,5
Lenvi Servicing Limited,NO GROUP,2024-01-01 to 2024-06-30,,,1380.0,,,1380.0,2024-h1,2024,h1,Mortgage & Lending,5
Liverpool Victoria Financial Services Limited,ALLIANZ SE,2024-01-01 to 2024-06-30,,679.0,,1283.0,383.0,2345.0,2024-h1,2024,h1,Insurance,5
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,2024-01-01 to 2024-06-30,,,,10678.0,,10678.0,2024-h1,2024,h1,Insurance,5
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,0.0,0.0,0.0,6428.0,0.0,6428.0,2024-h1,2024,h1,Banking,5
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,69299.0,57.0,2984.0,556.0,53.0,72949.0,2024-h1,2024,h1,Banking,5
London and Country Mortgages Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,581.0,34.0,,615.0,2024-h1,2024,h1,Mortgage & Lending,5
M & G Securities Limited,M&G PLC,2024-01-01 to 2024-06-30,,,,,852.0,852.0,2024-h1,2024,h1,Investments,5
ManyPets Ltd,NO GROUP,2023-10-01 to 2024-03-31,,,,6653.0,,6653.0,2024-h1,2024,h1,Insurance,5
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2024-01-01 to 2024-06-30,9336.0,0.0,0.0,143.0,0.0,9479.0,2024-h1,2024,h1,Banking,5
Marshmallow Financial Services Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,2918.0,,2918.0,2024-h1,2024,h1,Insurance,5
MBNA Limited,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,10614.0,0.0,0.0,76.0,0.0,10690.0,2024-h1,2024,h1,Banking,5
MetLife Europe d.a.c.,NO GROUP,2024-01-01 to 2024-06-30,,,,501.0,,501.0,2024-h1,2024,h1,Insurance,5
Metro Bank PLC,METRO BANK PLC,2024-01-01 to 2024-06-30,9003.0,,243.0,,,9246.0,2024-h1,2024,h1,Banking,5
Monzo Bank Ltd,MONZO BANK LIMITED,2023-10-01 to 2024-03-31,42016.0,,,,73.0,42089.0,2024-h1,2024,h1,Banking,5
Moorcroft Debt Recovery Limited,NO GROUP,2023-08-01 to 2024-01-31,551.0,,,,,551.0,2024-h1,2024,h1,Banking,5
MotoNovo Finance Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,41.0,,41.0,2024-h1,2024,h1,Mortgage & Lending,5
Munich Re Digital Partners Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,1000.0,,1000.0,2024-h1,2024,h1,Insurance,5
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,2024-01-01 to 2024-06-30,80269.0,37.0,7245.0,115.0,134.0,87800.0,2024-h1,2024,h1,Banking,5
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2023-10-05 to 2024-04-04,56809.0,3.0,4617.0,178.0,171.0,61778.0,2024-h1,2024,h1,Banking,5
Newcastle Building Society,NO GROUP,2024-01-01 to 2024-06-30,345.0,0.0,191.0,0.0,7.0,543.0,2024-h1,2024,h1,Banking,5
Northern Bank Limited,DANSKE BANK A/S,2024-01-01 to 2024-06-30,1608.0,0.0,75.0,4.0,0.0,1687.0,2024-h1,2024,h1,Banking,5
Nutmeg Saving and Investment Limited,NO GROUP,2024-01-01 to 2024-06-30,,185.0,,,474.0,659.0,2024-h1,2024,h1,Investments,5
One Call Insurance Services Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,3202.0,,3202.0,2024-h1,2024,h1,Insurance,5
OneSavings Bank Plc,ONESAVINGS BANK PLC,2024-01-01 to 2024-06-30,1308.0,,1089.0,,,2397.0,2024-h1,2024,h1,Banking,5
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2023-10-01 to 2024-03-31,800.0,,237.0,2.0,,1039.0,2024-h1,2024,h1,Banking,5
Pendragon Finance and Insurance Services Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,34.0,,34.0,2024-h1,2024,h1,Mortgage & Lending,5
People's Administration Services Limited,NO GROUP,2023-10-01 to 2024-03-31,,4246.0,,,,4246.0,2024-h1,2024,h1,Insurance,5
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2024-01-01 to 2024-06-30,,,763.0,,,763.0,2024-h1,2024,h1,Mortgage & Lending,5
Phoenix Life Limited,PHOENIX GROUP,2024-01-01 to 2024-06-30,,10333.0,7.0,2682.0,952.0,13974.0,2024-h1,2024,h1,Insurance,5
Pinnacle Insurance Plc,BNP PARIBAS GROUP,2024-01-01 to 2024-06-30,,,,2528.0,,2528.0,2024-h1,2024,h1,Insurance,5
Prestige Underwriting Services Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,507.0,,507.0,2024-h1,2024,h1,Insurance,5
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2024-01-01 to 2024-06-30,768.0,,466.0,2.0,1.0,1237.0,2024-h1,2024,h1,Banking,5
QBE UK Limited,QBE INSURANCE GROUP,2024-01-01 to 2024-06-30,,,,944.0,,944.0,2024-h1,2024,h1,Insurance,5
Qmetric Group Limited,NO GROUP,2023-10-01 to 2024-03-31,,,,3280.0,,3280.0,2024-h1,2024,h1,Insurance,5
Quilter Investment Platform Limited,QUILTER GROUP,2024-01-01 to 2024-06-30,,,,,610.0,610.0,2024-h1,2024,h1,Investments,5
Quilter Life & Pensions Limited,QUILTER GROUP,2024-01-01 to 2024-06-30,,655.0,,,144.0,799.0,2024-h1,2024,h1,Insurance,5
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,2024-01-01 to 2024-06-30,,,,9218.0,,9218.0,2024-h1,2024,h1,Insurance,5
RBS Collective Investment Funds Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,,1430.0,1430.0,2024-h1,2024,h1,Investments,5
ReAssure Life Limited,PHOENIX GROUP,2024-01-01 to 2024-06-30,,280.0,,467.0,232.0,979.0,2024-h1,2024,h1,Insurance,5
ReAssure Limited,PHOENIX GROUP,2024-01-01 to 2024-06-30,,3505.0,,744.0,757.0,5006.0,2024-h1,2024,h1,Insurance,5
Reassured Ltd,NO GROUP,2023-08-01 to 2024-01-31,,,,607.0,,607.0,2024-h1,2024,h1,Insurance,5
Rock Insurance Services Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,818.0,,818.0,2024-h1,2024,h1,Insurance,5
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,2024-01-01 to 2024-06-30,,,,15116.0,,15116.0,2024-h1,2024,h1,Insurance,5
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,2024-01-01 to 2024-06-30,,,,681.0,,681.0,2024-h1,2024,h1,Insurance,5
Saga Services Limited,SAGA PLC,2023-08-01 to 2024-01-31,,,,16349.0,,16349.0,2024-h1,2024,h1,Insurance,5
Sainsbury's Bank Plc,J SAINSBURY PLC,2023-09-01 to 2024-02-29,3440.0,,67.0,877.0,,4384.0,2024-h1,2024,h1,Banking,5
Santander Consumer (UK) Plc,SANTANDER UK GROUP,2024-01-01 to 2024-06-30,,,,1.0,,1.0,2024-h1,2024,h1,Insurance,5
Santander UK Plc,SANTANDER UK GROUP,2024-01-01 to 2024-06-30,60720.0,25.0,6932.0,105.0,34.0,67816.0,2024-h1,2024,h1,Banking,5
Scottish Equitable Plc,AEGON N.V.,2024-01-01 to 2024-06-30,,4586.0,,239.0,74.0,4899.0,2024-h1,2024,h1,Insurance,5
Scottish Friendly Assurance Society Limited,NO GROUP,2024-01-01 to 2024-06-30,,406.0,,390.0,570.0,1366.0,2024-h1,2024,h1,Insurance,5
Scottish Widows Administration Services Limited,NO GROUP,2024-01-01 to 2024-06-30,0.0,537.0,0.0,0.0,1.0,538.0,2024-h1,2024,h1,Insurance,5
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,0.0,9160.0,0.0,1472.0,2102.0,12734.0,2024-h1,2024,h1,Insurance,5
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,0.0,0.0,0.0,0.0,631.0,631.0,2024-h1,2024,h1,Investments,5
Secure Trust Bank Plc,SECURE TRUST BANK PLC,2024-01-01 to 2024-06-30,320.0,,3.0,,,323.0,2024-h1,2024,h1,Banking,5
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2024-01-01 to 2024-06-30,1251.0,,516.0,,,1767.0,2024-h1,2024,h1,Banking,5
Shop Direct Finance Company Limited,THE VERY GROUP,2024-01-01 to 2024-06-30,,,,418.0,,418.0,2024-h1,2024,h1,Mortgage & Lending,5
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2024-01-01 to 2024-06-30,,,,1997.0,,1997.0,2024-h1,2024,h1,Insurance,5
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-01-01 to 2024-06-30,2837.0,51.0,630.0,14.0,147.0,3679.0,2024-h1,2024,h1,Banking,5
Society of Lloyd's,SOCIETY OF LLOYD'S,2024-01-01 to 2024-06-30,,,,5309.0,,5309.0,2024-h1,2024,h1,Insurance,5
Somerset Bridge Insurance Services Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,519.0,,519.0,2024-h1,2024,h1,Insurance,5
St James's Place Investment Administration Limited,ST. JAMES'S PLACE PLC,2024-01-01 to 2024-06-30,,,,,508.0,508.0,2024-h1,2024,h1,Investments,5
St James's Place UK plc,ST. JAMES'S PLACE PLC,2024-01-01 to 2024-06-30,,1066.0,,10.0,270.0,1346.0,2024-h1,2024,h1,Insurance,5
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-01-01 to 2024-06-30,0.0,8323.0,18.0,206.0,6828.0,15375.0,2024-h1,2024,h1,Insurance,5
Standard Life Savings Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,,665.0,665.0,2024-h1,2024,h1,Insurance,5
Starling Bank Limited,NO GROUP,2023-10-01 to 2024-03-31,20482.0,,,,,20482.0,2024-h1,2024,h1,Banking,5
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",2024-01-01 to 2024-06-30,,,,1681.0,,1681.0,2024-h1,2024,h1,Insurance,5
Suffolk Life Pensions Limited,NO GROUP,2024-01-01 to 2024-06-30,,536.0,,,,536.0,2024-h1,2024,h1,Insurance,5
Sun Life Assurance Company of Canada (U.K.) Limited,PHOENIX GROUP,2024-01-01 to 2024-06-30,,714.0,,367.0,96.0,1177.0,2024-h1,2024,h1,Insurance,5
Swift 1st Limited,NO GROUP,2023-10-01 to 2024-03-31,,,912.0,,,912.0,2024-h1,2024,h1,Mortgage & Lending,5
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,2024-01-01 to 2024-06-30,,,,3102.0,,3102.0,2024-h1,2024,h1,Insurance,5
Telefonica UK Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,29.0,,29.0,2024-h1,2024,h1,Insurance,5
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),2023-09-01 to 2024-02-29,14290.0,,,3659.0,,17949.0,2024-h1,2024,h1,Mortgage & Lending,5
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),2023-09-01 to 2024-02-29,,,,2740.0,,2740.0,2024-h1,2024,h1,Insurance,5
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-01-01 to 2024-06-30,12595.0,2.0,3548.0,6.0,1.0,16152.0,2024-h1,2024,h1,Banking,5
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2023-10-01 to 2024-03-31,,,1534.0,,,1534.0,2024-h1,2024,h1,Mortgage & Lending,5
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2024-01-01 to 2024-06-30,,80.0,,6635.0,59.0,6774.0,2024-h1,2024,h1,Insurance,5
The Prudential Assurance Company Limited,M&G PLC,2024-01-01 to 2024-06-30,,6734.0,33.0,704.0,2696.0,10167.0,2024-h1,2024,h1,Insurance,5
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-01-01 to 2024-06-30,18625.0,6.0,1583.0,35.0,37.0,20286.0,2024-h1,2024,h1,Banking,5
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2024-01-01 to 2024-06-30,,6145.0,,2029.0,288.0,8462.0,2024-h1,2024,h1,Insurance,5
Topaz Finance Limited,NO GROUP,2024-01-01 to 2024-06-30,,,2693.0,,,2693.0,2024-h1,2024,h1,Mortgage & Lending,5
Tradex Insurance Company PLC,NO GROUP,2024-01-01 to 2024-06-30,,,,1588.0,,1588.0,2024-h1,2024,h1,Insurance,5
Triodos Bank UK Limited,NO GROUP,2024-01-01 to 2024-06-30,590.0,,,,97.0,687.0,2024-h1,2024,h1,Banking,5
TSB Bank plc,BANCO DE SABADELL SA,2024-01-01 to 2024-06-30,23784.0,,1920.0,30.0,,25734.0,2024-h1,2024,h1,Banking,5
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2024-01-01 to 2024-06-30,,,,53474.0,,53474.0,2024-h1,2024,h1,Insurance,5
UK Mortgage Lending Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,656.0,,,656.0,2024-h1,2024,h1,Mortgage & Lending,5
Unum Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,581.0,,581.0,2024-h1,2024,h1,Insurance,5
Usay Business Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,688.0,,688.0,2024-h1,2024,h1,Insurance,5
Utility Warehouse Limited,NO GROUP,2023-10-01 to 2024-03-31,,,,609.0,,609.0,2024-h1,2024,h1,Insurance,5
"Vanguard Asset Management, Ltd",NO GROUP,2024-01-01 to 2024-06-30,,805.0,,,1330.0,2135.0,2024-h1,2024,h1,Energy & Utilities,5
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2024-01-01 to 2024-06-30,33775.0,,,,,33775.0,2024-h1,2024,h1,Banking,5
Vitality Corporate Services Limited,DISCOVERY LIMITED,2024-01-01 to 2024-06-30,,,,9239.0,,9239.0,2024-h1,2024,h1,Insurance,5
Vodafone Limited,NO GROUP,2023-10-01 to 2024-03-31,,,,377.0,,377.0,2024-h1,2024,h1,Insurance,5
Volkswagen Financial Services (UK) Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,3.0,,3.0,2024-h1,2024,h1,Insurance,5
Wesleyan Assurance Society,NO GROUP,2024-01-01 to 2024-06-30,,352.0,,138.0,395.0,885.0,2024-h1,2024,h1,Insurance,5
Xbridge Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,1061.0,,1061.0,2024-h1,2024,h1,Insurance,5
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2024-01-01 to 2024-06-30,2491.0,2.0,746.0,16.0,4.0,3259.0,2024-h1,2024,h1,Banking,5
Zempler Bank Limited,NO GROUP,2023-10-01 to 2024-03-31,1769.0,,,,,1769.0,2024-h1,2024,h1,Banking,5
Zopa Bank Limited,NO GROUP,2024-01-01 to 2024-06-30,3092.0,,,,,3092.0,2024-h1,2024,h1,Banking,5
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2024-01-01 to 2024-06-30,0.0,1337.0,1.0,2387.0,440.0,4165.0,2024-h1,2024,h1,Insurance,5
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,2024-01-01 to 2024-06-30,,,,3455.0,,3455.0,2024-h1,2024,h1,Insurance,5
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,27.0,,865.0,,,892.0,2024-h2,2024,h2,Mortgage & Lending,6
Accredited Insurance (Europe) Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,,4219.0,,4219.0,2024-h2,2024,h2,Mortgage & Lending,6
Acm Ulr Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,,,,865.0,,865.0,2024-h2,2024,h2,Insurance,6
Acorn Insurance & Financial Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,,823.0,,823.0,2024-h2,2024,h2,Insurance,6
Action 365 Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,,966.0,,966.0,2024-h2,2024,h2,Insurance,6
Adrian Flux Insurance Services Group,NO GROUP,2024-04-01 to 2024-09-30,,,,1665.0,,1665.0,2024-h2,2024,h2,Insurance,6
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2024-07-01 to 2024-12-31,,,,816.0,,816.0,2024-h2,2024,h2,Insurance,6
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,,,,806.0,,806.0,2024-h2,2024,h2,Insurance,6
Ageas Insurance Limited,AGEAS SA-NV,2024-07-01 to 2024-12-31,,,,5058.0,,5058.0,2024-h2,2024,h2,Insurance,6
Ageas Retail Limited,AGEAS SA-NV,2024-07-01 to 2024-12-31,,,,993.0,,993.0,2024-h2,2024,h2,Insurance,6
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2024-07-01 to 2024-12-31,,,,2193.0,,2193.0,2024-h2,2024,h2,Insurance,6
AJ Bell Management Limited,AJ BELL GROUP,2024-04-01 to 2024-09-30,,955.0,,,,955.0,2024-h2,2024,h2,Insurance,6
AJ Bell Securities Limited,AJ BELL GROUP,2024-04-01 to 2024-09-30,19.0,191.0,,,749.0,959.0,2024-h2,2024,h2,Investments,6
Aldermore Bank Plc,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,695.0,,749.0,,,1444.0,2024-h2,2024,h2,Banking,6
Allianz Insurance Plc,ALLIANZ SE,2024-07-01 to 2024-12-31,,,,2947.0,,2947.0,2024-h2,2024,h2,Insurance,6
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2024-07-01 to 2024-12-31,11203.0,,,70.0,,11273.0,2024-h2,2024,h2,Banking,6
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2024-07-01 to 2024-12-31,,,,1109.0,,1109.0,2024-h2,2024,h2,Insurance,6
AmTrust Specialty Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,2314.0,,2314.0,2024-h2,2024,h2,Insurance,6
Animal Friends Insurance Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,,3228.0,,3228.0,2024-h2,2024,h2,Insurance,6
ARAG Legal Expenses Insurance Company Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,1930.0,,1930.0,2024-h2,2024,h2,Insurance,6
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,2024-07-01 to 2024-12-31,,,,1047.0,,1047.0,2024-h2,2024,h2,Insurance,6
Assurant General Insurance Limited,ASSURANT INC,2024-07-01 to 2024-12-31,,,,6996.0,,6996.0,2024-h2,2024,h2,Insurance,6
Astrenska Insurance Limited,NO GROUP,2024-05-01 to 2024-10-31,,,,1854.0,,1854.0,2024-h2,2024,h2,Insurance,6
Asurion Europe Limited,ASURION,2024-07-01 to 2024-12-31,,,,1431.0,,1431.0,2024-h2,2024,h2,Insurance,6
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,,,,9798.0,,9798.0,2024-h2,2024,h2,Insurance,6
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2024-02-01 to 2024-07-31,0.0,0.0,0.0,8063.0,0.0,8063.0,2024-h2,2024,h2,Insurance,6
Avantia Insurance Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,1437.0,,1437.0,2024-h2,2024,h2,Insurance,6
